sorgu|1st|2nd|3rd|4th|5th
Doğu Anadolu Bölgesi'nde tarım alanlarının kapladığı yüzölçümü ne kadardır?|Beyşehir Gölü|Zazaca|Görgü tanığının ifadesi|Tuğrul Şavkay|
Bu metinde hangi Mısır tanrılarından bahsedilmektedir?|Triumvirlik|Wiesenthau|Alibeyli, Sumbas|Obernbreit|
Terry Gilliam hangi filmin çekimlerini tamamlayamadan askıya almıştır?|Albert Brooks|Görevimiz Tehlike (film serisi)|Yedinci Küçük Kardeş|Sanaya Irani|
Avrupa Jeologlar Federasyonu, bugün 70.000'den fazla jeologu temsil eden bir organizasyon mudur?|Platformizm|Dünya 20 Yaş Altı Atletizm Şampiyonası|Porto Rikolular|Tarım|
Metinde, Mustafa Kemal Atatürk'ün kişisel özellikleri, ilgi alanları, giyim tarzı, dil bilgisi, aile ilişkileri ve aşk hayatı hakkında bilgiler verilmiştir. Ayrıca, Atatürk'ün dönemindeki siyasi ve bilimsel ilişkileri de açıklanmıştır.|Mustafa Kemal Atatürk|Mustafa Kemal Atatürk|Recep Tayyip Erdoğan|Mustafa Kemal Atatürk|
 Musul Sorunu, Türk-Yunan ilişkileri ve Türkiye'nin Milletler Cemiyeti'ne katılımı hakkında metinden ne anlaşılıyor?|Konya Havalimanı|Karaçı|Kuzey Suriye'de Türkiye|Salih Hacıoğlu|
Eretna Beyliği hangi yıllar arasında hüküm sürmüştür?|Hayatta kalma yanılgısı|Anıtkabir|Manuil Vutumitis|Kimmerler|
Hangi şirketi kurarak Francis Ford Coppola ile çalışmaya başlamıştır?|Trabzon'da 2014 Türkiye yerel seçimleri|Merkez, Eyüpsultan|Triumvirlik|Sanayi, Şereflikoçhisar|
Metinde Zazaca dilindeki fiil takıları ile ilgili neler söylenmektedir ve bu takılar nasıl oluşmuştur?|Tafoni|Çin mitolojisi|Anadolu Selçuklu Devleti|Mustafa Kemal Atatürk|
İstiklâl Marşı kaç dörtlük ve kaç beşlikten oluşur?|Çin mitolojisi|Anıtkabir|Bir Ofis Romansı|Anadolu Selçuklu Devleti|
Eğer Cengiz Han 1162 yılında doğmuşsa, ölüm tarihi nedir?|Idir|Mustafa Kemal Atatürk|Tatyana Bulanova|Heinz Rühmann|
Mustafa Kemal'in cumhuriyet döneminde gerçekleştirdiği önemli değişiklikleri ve devrimleri özetleyiniz.|Mustafa Kemal Atatürk|İzmir Atatürk Müzesi|Küfizade Asaf Bey|Anıtkabir|
Antropoloji neyi inceler?|Bobbio|Canlısal manyetizma|Coğrafya|Nikea Kuşatması (727)|
Microsoft Windows Server 2022'nin genişletilmiş destek bitiş tarihi ne zamandır?|Microsoft Windows|Microsoft Windows|Windows 8|Microsoft Windows|
Hangi ülkenin parlamentosu, Ermeni Soykırımı'nı tanıyan bir tasarıyı oy çokluğuyla kabul etti|Theofilos|Tequila, Jalisco|Anadolu Selçuklu Devleti|Mustafa Kemal Atatürk|
Lozan Antlaşması'nın imzalanması ve Cumhuriyetin ilanı süreçleri hakkında bilgi veriniz.|Küçük Asya'nın Abbasi işgali (806)|Filibe Sinagogu|Avından el alan|Triumvirlik|
Mustafa Kemal'in liderliğindeki milliyetçi hareketin gelişimini özetleyiniz.|Hamidiyeköyü, Mustafakemalpaşa|Küfizade Asaf Bey|Mustafa Kemal Atatürk|Gaziantep'te 1963 Türkiye yerel seçimleri|
Celaleddin Harezmşah, Cengiz Han'ı hangi tarihte İndus nehri sahilinde karşıladı?|Elizabeth Dönemi|Aziz Antonius Manastırı|Atburgazı|Alime Abdenanova|
Barış Manço ve Moğollar'ın birleşmesiyle oluşturdukları grup hangi adı almıştır?|Wiesenthau|Hayatta kalma yanılgısı|Küçük Asya'nın Abbasi işgali (806)|Türkiye Seyahat Acentaları Birliği|
Bir dilin ölümü, o dilin artık konuşulmadığı anlamına mı gelir?|Dil|Dil|Dil|Dil|
Anıtkabir derneği ne zaman kurulmuştur?|Alime Abdenanova|Cengiz Han|Düz oranlı vergi|Emmanuel Sanon|
İsmet İnönü'nün Türkiye'deki görevleri nelerdir?|Beytüşşebap İsyanı|Dil|Cezayir Türkleri|Tarım ve Orman Bakanlığı|
